ensembl_gene_id,gene_biotype
ENSMUSG00000069302,protein_coding
ENSMUSG00000069303,protein_coding
ENSMUSG00000069920,protein_coding
ENSMUSG00000070476,protein_coding
ENSMUSG00000070509,protein_coding
ENSMUSG00000070570,protein_coding
ENSMUSG00000070604,protein_coding
ENSMUSG00000070713,protein_coding
ENSMUSG00000071052,protein_coding
ENSMUSG00000071073,protein_coding
ENSMUSG00000071273,protein_coding
ENSMUSG00000071317,protein_coding
ENSMUSG00000071613,protein_coding
ENSMUSG00000072115,protein_coding
ENSMUSG00000072214,protein_coding
ENSMUSG00000072476,protein_coding
ENSMUSG00000073027,protein_coding
ENSMUSG00000073063,protein_coding
ENSMUSG00000078134,protein_coding
ENSMUSG00000078184,protein_coding
ENSMUSG00000078512,protein_coding
ENSMUSG00000078889,protein_coding
ENSMUSG00000078963,protein_coding
ENSMUSG00000079387,protein_coding
ENSMUSG00000079941,protein_coding
ENSMUSG00000081984,protein_coding
ENSMUSG00000087119,protein_coding
ENSMUSG00000090035,protein_coding
ENSMUSG00000090173,protein_coding
ENSMUSG00000090551,protein_coding
ENSMUSG00000090981,protein_coding
ENSMUSG00000091080,protein_coding
ENSMUSG00000091387,protein_coding
ENSMUSG00000091415,protein_coding
ENSMUSG00000091900,protein_coding
ENSMUSG00000092116,protein_coding
ENSMUSG00000092586,protein_coding
ENSMUSG00000093456,protein_coding
ENSMUSG00000093536,protein_coding
ENSMUSG00000093769,protein_coding
ENSMUSG00000094690,protein_coding
ENSMUSG00000096154,protein_coding
ENSMUSG00000096793,protein_coding
ENSMUSG00000096968,protein_coding
ENSMUSG00000097078,protein_coding
ENSMUSG00000097221,protein_coding
ENSMUSG00000097427,protein_coding
ENSMUSG00000097929,protein_coding
ENSMUSG00000098387,protein_coding
ENSMUSG00000099908,protein_coding
ENSMUSG00000101436,protein_coding
ENSMUSG00000102742,protein_coding
ENSMUSG00000105204,protein_coding
ENSMUSG00000107877,protein_coding
ENSMUSG00000107906,protein_coding
ENSMUSG00000108900,protein_coding
