SampleID,PE_Bowtie,SE_Bowtie,SE_STAR
PB359_90,64.70718309924331,79.46802470555276,77.96
PB360_02,62.197862315290955,80.30843426136678,77.68
PB360_07,69.89987039579036,84.60484931115703,73.79
PB360_08,59.477925349187885,77.26248002526917,74.34
PB360_09,66.77790744387335,83.09996722883713,73.76
PB360_13,62.465812793624885,77.13700118902676,77.83
PB360_15,67.85756582582117,82.64008025342821,75.54
PB360_18,66.23665468787074,82.62437399435977,75.52
PB360_21,64.0799378316812,80.69506530454926,74.79
PB360_22,60.280157968067485,81.44311549179093,76.39
PB360_24,58.11954456554703,77.3689446316088,76.07
PB360_26,65.75951459027442,79.93898687161385,75.32
PB360_32,70.29223871945229,83.9848552374127,76.09
PB360_36,64.84404965534969,82.98904835030308,77.31
PB360_41,63.92810988515567,79.43707490101336,76.78
PB360_42,63.54257612099959,78.45330680272507,75.22
PB360_45,63.59045569850038,81.64300948328192,75.35
PB360_46,66.29318595930074,79.86378450574291,74.37
PB360_49,65.11146696408518,79.88152666582674,74.31
PB360_50,63.987259913030904,81.93517456097038,75.75
PB360_52,61.12960551321389,76.12801246365964,77.23
PB360_53,64.3923656122631,80.76899967528922,73.82
PB360_57,58.883950002925666,81.59486790817077,77.27
PB360_59,68.6071153317867,83.59852470399318,74.52
PB360_70,57.70192329084073,82.51601259204877,75.91
PB360_75,66.12425099166327,79.70427299980285,75.5
PB360_76,72.41268070109538,87.64855095307547,70.45
PB360_83,62.38098737153812,86.16653064675616,76.27
PB360_86,63.873025716384014,79.77335498679406,75.63
PB360_88,63.71329102719341,80.7934483071107,75.91
PB360_93,62.40493911418721,84.41935457108075,78.48
PB360_94,63.5873188901112,78.86440232200539,74.69
PB361_01,64.83555937182611,81.74645750926413,75.3
PB361_02,67.20911656156902,84.48014797311454,75.3
PB361_11,65.00147356839231,81.75835055211411,75.83
PB361_15,68.01135568948796,81.54693141814057,75.01
PB361_21,68.42215297956832,82.26191642111321,76.02
PB361_23,68.03602450803976,84.6513782556975,76.65
PB361_24,68.0035286908153,85.82629952120246,77.08
PB361_25,66.456052344701,84.03865994246999,77.98
PB361_28,66.11662668600479,79.15932414536489,75.36
PB361_37,65.95721216107533,84.46036343198594,77.3
PB361_39,67.94092190354142,82.79553719758657,74.73
PB361_43,65.20754249733997,78.47059621289596,75.56
PB361_44,66.12773447376145,79.68617068035303,75.83
PB361_48,66.54148736631619,85.32697672671702,73.54
PB361_59,66.02659534818476,83.08809772294576,75.3
PB361_62,64.34550096820502,81.9391223339026,77.42
PB361_63,66.90297986590127,84.39726571927937,75.22
PB361_67,68.7757735199488,85.9956136855416,75.46
PB361_69,65.5705337871188,83.29506628264754,74.88
PB361_70,67.53994466632813,82.56677439689189,74.57
PB361_73,69.57855414591508,86.87334464402107,76.34
PB361_73_ES_B,70.76444795710869,88.40074498087588,76.8
PB361_76,67.20554045557617,81.27392469615783,74.8
PB361_77,73.05532203355408,89.09330280229996,71.37
PB361_78,66.77743823524561,82.50907909803418,77.15
PB361_81,72.53959257433876,85.2203205042042,71.99
PB361_85,63.92786189512882,78.06294274122074,75.36
PB361_86,64.54609099200486,81.96883186917692,77.96
PB361_88,62.133660442294726,77.96677906192592,77.69
PB361_90_ES_B,70.03025120784768,86.39744325733642,76.8
PB361_91,66.65657785745569,82.14796747583127,76.52
PB361_94,64.45624254103117,80.32540629710327,77.2
PB362_07,65.29795116268653,79.58461928439246,77.3
PB362_09,55.130936391700345,70.98625866946765,79.2
PB362_11,72.97365189525053,87.02405658890144,71.2
PB362_13,63.69116095639055,81.97702004864257,76.92
PB362_40,65.23372048811423,79.884299181091,75.18
PB362_45,63.326440590153574,76.60635288750852,75.78
PB362_56,65.20864936804035,84.77341210370537,74.28
PB362_57,59.84364461039057,81.26154141739165,77.69
PB362_65,64.2748512001766,80.9882811906601,74.96
PB362_73,65.7274912723935,79.8335708320442,75.1
PB363_02,60.884335193015836,77.00899265375078,75.21
PB363_07,56.188576664537536,82.77097567339314,77.99
PB363_08,59.86575947641124,77.16420507226616,76.61
PB363_47,62.980769708844186,78.21494828975504,74.93
PB363_55,64.77837099384664,79.6058414753035,76.69
PB364_50,56.26822736864582,75.83280424472443,78.91
PB364_73,67.86972298451258,83.01922798738714,77.94
PB364_86,67.05179733983697,83.14358076328672,76.45
PB365_13,65.331488605039155,80.95370988705653,77.72
PB365_22,65.15061157206517,80.6327959979904,76.88
PB365_33,67.32695962715263,82.40822325731239,76.42
PB365_38,63.30407291398596,78.34817802860162,74.21
PB365_45,61.66798974669686,78.07144444436622,75.32
PB365_46,64.53057283840732,80.27495128220039,78.6
PB365_47,61.24604852511829,79.3818584516259,74.68
PB366_02,62.778341094018394,78.6264076004235,77.55
PB366_03,63.928007823577396,77.90166267289858,79.24
PB366_07,60.313000176621856,79.85873287356809,77.61
PB366_15,69.20374234091045,84.4742187266352,74.54
PB366_18,61.14073361861118,79.52012119461746,76.84
PB366_21,61.61045111229849,81.61318018850619,75.78
PB366_41,64.0697519762291,80.08774313748968,77.85
PB366_43,61.139027234137174,80.38425990597908,78.46
PB366_44,59.08950046411585,79.08771856197228,78.42
PB366_51,57.44965383640359,76.77137096761206,78.14
PB366_72,69.58105075463726,85.43417008325733,70.45
PB366_78,66.80436754399169,83.26853137962938,75.49
PB366_80,66.60048026151732,79.57359431124979,74.79
PB366_87,67.35428801047595,83.27193464842915,76.03
PB367_06,62.64047417445601,77.73835435145507,75.86
PB367_10,65.71224350765551,79.88703392519017,75.05
PB367_19,62.465893073654875,81.87342461158407,76.77
PB367_26,58.74333107333855,79.95583334766174,78.14
