ensembl_gene_id,gene_biotype
ENSMUSG00000034842,protein_coding
ENSMUSG00000034855,protein_coding
ENSMUSG00000035183,protein_coding
ENSMUSG00000035186,protein_coding
ENSMUSG00000035491,protein_coding
ENSMUSG00000035678,protein_coding
ENSMUSG00000035694,protein_coding
ENSMUSG00000035699,protein_coding
ENSMUSG00000035783,protein_coding
ENSMUSG00000035984,protein_coding
ENSMUSG00000036168,protein_coding
ENSMUSG00000036256,protein_coding
ENSMUSG00000036492,protein_coding
ENSMUSG00000036570,protein_coding
ENSMUSG00000036585,protein_coding
ENSMUSG00000036594,protein_coding
ENSMUSG00000036858,protein_coding
ENSMUSG00000037028,protein_coding
ENSMUSG00000037101,protein_coding
ENSMUSG00000037428,protein_coding
ENSMUSG00000037797,protein_coding
ENSMUSG00000037994,protein_coding
ENSMUSG00000038057,protein_coding
ENSMUSG00000038135,protein_coding
ENSMUSG00000038147,protein_coding
ENSMUSG00000038213,protein_coding
ENSMUSG00000038836,protein_coding
ENSMUSG00000039097,protein_coding
ENSMUSG00000039116,protein_coding
ENSMUSG00000039236,protein_coding
ENSMUSG00000039330,protein_coding
ENSMUSG00000039552,protein_coding
ENSMUSG00000039611,protein_coding
ENSMUSG00000039628,protein_coding
ENSMUSG00000039853,protein_coding
ENSMUSG00000040121,protein_coding
ENSMUSG00000040165,protein_coding
ENSMUSG00000040181,protein_coding
ENSMUSG00000040258,protein_coding
ENSMUSG00000040441,protein_coding
ENSMUSG00000040495,protein_coding
ENSMUSG00000040650,protein_coding
ENSMUSG00000040808,protein_coding
ENSMUSG00000040829,protein_coding
ENSMUSG00000040938,protein_coding
ENSMUSG00000040950,protein_coding
ENSMUSG00000040963,protein_coding
ENSMUSG00000041583,protein_coding
ENSMUSG00000041954,protein_coding
ENSMUSG00000041991,protein_coding
ENSMUSG00000042109,protein_coding
ENSMUSG00000042386,protein_coding
ENSMUSG00000042436,protein_coding
ENSMUSG00000042766,protein_coding
ENSMUSG00000043073,protein_coding
ENSMUSG00000043157,protein_coding
ENSMUSG00000043282,protein_coding
ENSMUSG00000043319,protein_coding
ENSMUSG00000043336,protein_coding
ENSMUSG00000043633,protein_coding
ENSMUSG00000043747,protein_coding
ENSMUSG00000044103,protein_coding
ENSMUSG00000044165,protein_coding
ENSMUSG00000044287,protein_coding
ENSMUSG00000044429,protein_coding
ENSMUSG00000044519,protein_coding
ENSMUSG00000045378,protein_coding
ENSMUSG00000045410,protein_coding
ENSMUSG00000045608,protein_coding
ENSMUSG00000045664,protein_coding
ENSMUSG00000045775,protein_coding
ENSMUSG00000045826,protein_coding
ENSMUSG00000046031,protein_coding
ENSMUSG00000046088,protein_coding
ENSMUSG00000046186,protein_coding
ENSMUSG00000046435,protein_coding
ENSMUSG00000046442,protein_coding
ENSMUSG00000046719,protein_coding
ENSMUSG00000046856,protein_coding
ENSMUSG00000046879,protein_coding
ENSMUSG00000047261,protein_coding
ENSMUSG00000047369,protein_coding
ENSMUSG00000047654,protein_coding
ENSMUSG00000047658,protein_coding
ENSMUSG00000047911,protein_coding
ENSMUSG00000047977,protein_coding
ENSMUSG00000048065,protein_coding
ENSMUSG00000048108,protein_coding
ENSMUSG00000048281,protein_coding
ENSMUSG00000048478,protein_coding
ENSMUSG00000048502,protein_coding
ENSMUSG00000048573,protein_coding
ENSMUSG00000048782,protein_coding
ENSMUSG00000049235,protein_coding
ENSMUSG00000049291,protein_coding
ENSMUSG00000049303,protein_coding
ENSMUSG00000049396,protein_coding
ENSMUSG00000049871,protein_coding
ENSMUSG00000050435,protein_coding
ENSMUSG00000050675,protein_coding
ENSMUSG00000050844,protein_coding
ENSMUSG00000050957,protein_coding
ENSMUSG00000051397,protein_coding
ENSMUSG00000051769,protein_coding
ENSMUSG00000051827,protein_coding
ENSMUSG00000051851,protein_coding
ENSMUSG00000052117,protein_coding
ENSMUSG00000052131,protein_coding
ENSMUSG00000052334,protein_coding
ENSMUSG00000052477,protein_coding
ENSMUSG00000052525,protein_coding
ENSMUSG00000052551,protein_coding
ENSMUSG00000052673,protein_coding
ENSMUSG00000053030,protein_coding
ENSMUSG00000053111,protein_coding
ENSMUSG00000053153,protein_coding
ENSMUSG00000053388,protein_coding
ENSMUSG00000053522,protein_coding
ENSMUSG00000053856,protein_coding
ENSMUSG00000053909,protein_coding
ENSMUSG00000053916,protein_coding
ENSMUSG00000054034,protein_coding
ENSMUSG00000054083,protein_coding
ENSMUSG00000054128,protein_coding
ENSMUSG00000054169,protein_coding
ENSMUSG00000054272,protein_coding
ENSMUSG00000054342,protein_coding
ENSMUSG00000054362,protein_coding
ENSMUSG00000054568,protein_coding
ENSMUSG00000054582,protein_coding
ENSMUSG00000054626,protein_coding
ENSMUSG00000054763,protein_coding
ENSMUSG00000054951,protein_coding
ENSMUSG00000055610,protein_coding
ENSMUSG00000055795,protein_coding
ENSMUSG00000055826,protein_coding
ENSMUSG00000056116,protein_coding
ENSMUSG00000056718,protein_coding
ENSMUSG00000056888,protein_coding
ENSMUSG00000057072,protein_coding
ENSMUSG00000057137,protein_coding
ENSMUSG00000057321,protein_coding
ENSMUSG00000057697,protein_coding
ENSMUSG00000057729,protein_coding
ENSMUSG00000057762,protein_coding
ENSMUSG00000058005,protein_coding
ENSMUSG00000058022,protein_coding
ENSMUSG00000058328,protein_coding
ENSMUSG00000058385,protein_coding
ENSMUSG00000058443,protein_coding
ENSMUSG00000058741,protein_coding
ENSMUSG00000058883,protein_coding
ENSMUSG00000058932,protein_coding
ENSMUSG00000058976,protein_coding
ENSMUSG00000059149,protein_coding
ENSMUSG00000059305,protein_coding
ENSMUSG00000059334,protein_coding
ENSMUSG00000059412,protein_coding
ENSMUSG00000059741,protein_coding
ENSMUSG00000060212,protein_coding
ENSMUSG00000060256,protein_coding
ENSMUSG00000060429,protein_coding
ENSMUSG00000060508,protein_coding
ENSMUSG00000060512,protein_coding
ENSMUSG00000060579,protein_coding
ENSMUSG00000060678,protein_coding
ENSMUSG00000060962,protein_coding
ENSMUSG00000060981,protein_coding
ENSMUSG00000061126,protein_coding
ENSMUSG00000061615,protein_coding
ENSMUSG00000061619,protein_coding
ENSMUSG00000061702,protein_coding
ENSMUSG00000061877,protein_coding
