ensembl_gene_id,gene_biotype
ENSMUSG00000001436,protein_coding
ENSMUSG00000001440,protein_coding
ENSMUSG00000001441,protein_coding
ENSMUSG00000001445,protein_coding
ENSMUSG00000001467,protein_coding
ENSMUSG00000001472,protein_coding
ENSMUSG00000001473,protein_coding
ENSMUSG00000001482,protein_coding
ENSMUSG00000001504,protein_coding
ENSMUSG00000001506,protein_coding
ENSMUSG00000001507,protein_coding
ENSMUSG00000001517,protein_coding
ENSMUSG00000001518,protein_coding
ENSMUSG00000001521,protein_coding
ENSMUSG00000001524,protein_coding
ENSMUSG00000001525,protein_coding
ENSMUSG00000001542,protein_coding
ENSMUSG00000001552,protein_coding
ENSMUSG00000001555,protein_coding
ENSMUSG00000001558,protein_coding
ENSMUSG00000001569,protein_coding
ENSMUSG00000001576,protein_coding
ENSMUSG00000001583,protein_coding
ENSMUSG00000001588,protein_coding
ENSMUSG00000001604,protein_coding
ENSMUSG00000001627,protein_coding
ENSMUSG00000001630,protein_coding
ENSMUSG00000001632,protein_coding
ENSMUSG00000001642,protein_coding
ENSMUSG00000001655,protein_coding
ENSMUSG00000001665,protein_coding
ENSMUSG00000001666,protein_coding
ENSMUSG00000001672,protein_coding
ENSMUSG00000001674,protein_coding
ENSMUSG00000001687,protein_coding
ENSMUSG00000001700,protein_coding
ENSMUSG00000001707,protein_coding
ENSMUSG00000001729,protein_coding
ENSMUSG00000001750,protein_coding
ENSMUSG00000001751,protein_coding
ENSMUSG00000001755,protein_coding
ENSMUSG00000001761,protein_coding
ENSMUSG00000001763,protein_coding
ENSMUSG00000001767,protein_coding
ENSMUSG00000001768,protein_coding
ENSMUSG00000001774,protein_coding
ENSMUSG00000001783,protein_coding
ENSMUSG00000001785,protein_coding
ENSMUSG00000001786,protein_coding
ENSMUSG00000001794,protein_coding
ENSMUSG00000001802,protein_coding
ENSMUSG00000001819,protein_coding
ENSMUSG00000001827,protein_coding
ENSMUSG00000001829,protein_coding
ENSMUSG00000001833,protein_coding
ENSMUSG00000001844,protein_coding
ENSMUSG00000001847,protein_coding
ENSMUSG00000001855,protein_coding
ENSMUSG00000001864,protein_coding
ENSMUSG00000001870,protein_coding
ENSMUSG00000001891,protein_coding
ENSMUSG00000001909,protein_coding
ENSMUSG00000001910,protein_coding
ENSMUSG00000001918,protein_coding
ENSMUSG00000001924,protein_coding
ENSMUSG00000001930,protein_coding
ENSMUSG00000001942,protein_coding
ENSMUSG00000001943,protein_coding
ENSMUSG00000001962,protein_coding
ENSMUSG00000001964,protein_coding
ENSMUSG00000001983,protein_coding
ENSMUSG00000001985,protein_coding
ENSMUSG00000001986,protein_coding
ENSMUSG00000001995,protein_coding
ENSMUSG00000001998,protein_coding
ENSMUSG00000001999,protein_coding
ENSMUSG00000002006,protein_coding
ENSMUSG00000002010,protein_coding
ENSMUSG00000002012,protein_coding
ENSMUSG00000002014,protein_coding
ENSMUSG00000002015,protein_coding
ENSMUSG00000002017,protein_coding
ENSMUSG00000002028,protein_coding
ENSMUSG00000002031,protein_coding
ENSMUSG00000002032,protein_coding
ENSMUSG00000002043,protein_coding
ENSMUSG00000002052,protein_coding
ENSMUSG00000002055,protein_coding
ENSMUSG00000002058,protein_coding
ENSMUSG00000002059,protein_coding
ENSMUSG00000002064,protein_coding
ENSMUSG00000002068,protein_coding
ENSMUSG00000002076,protein_coding
ENSMUSG00000002083,protein_coding
ENSMUSG00000002102,protein_coding
ENSMUSG00000002103,protein_coding
ENSMUSG00000002104,protein_coding
ENSMUSG00000002105,protein_coding
ENSMUSG00000002107,protein_coding
ENSMUSG00000002109,protein_coding
ENSMUSG00000002129,protein_coding
ENSMUSG00000002147,protein_coding
ENSMUSG00000002190,protein_coding
ENSMUSG00000002205,protein_coding
ENSMUSG00000002210,protein_coding
ENSMUSG00000002221,protein_coding
ENSMUSG00000002222,protein_coding
ENSMUSG00000002227,protein_coding
ENSMUSG00000002228,protein_coding
ENSMUSG00000002233,protein_coding
ENSMUSG00000002249,protein_coding
ENSMUSG00000002250,protein_coding
ENSMUSG00000002257,protein_coding
ENSMUSG00000002265,protein_coding
ENSMUSG00000002274,protein_coding
ENSMUSG00000002279,protein_coding
ENSMUSG00000002280,protein_coding
ENSMUSG00000002289,protein_coding
ENSMUSG00000002297,protein_coding
ENSMUSG00000002307,protein_coding
ENSMUSG00000002308,protein_coding
ENSMUSG00000002319,protein_coding
ENSMUSG00000002320,protein_coding
ENSMUSG00000002324,protein_coding
ENSMUSG00000002325,protein_coding
ENSMUSG00000002326,protein_coding
ENSMUSG00000002329,protein_coding
ENSMUSG00000002332,protein_coding
ENSMUSG00000002342,protein_coding
ENSMUSG00000002343,protein_coding
ENSMUSG00000002345,protein_coding
ENSMUSG00000002346,protein_coding
ENSMUSG00000002365,protein_coding
ENSMUSG00000002372,protein_coding
ENSMUSG00000002379,protein_coding
ENSMUSG00000002384,protein_coding
ENSMUSG00000002393,protein_coding
ENSMUSG00000002395,protein_coding
ENSMUSG00000002396,protein_coding
ENSMUSG00000002409,protein_coding
ENSMUSG00000002413,protein_coding
ENSMUSG00000002416,protein_coding
